P + 316 -2111774424 
F ntoskrnl.exe IoSetInformation 0013de63 
F ntoskrnl.exe IoSetIoCompletion 0009fdeb 
F ntoskrnl.exe IoSetPartitionInformation 0013ba11 
F ntoskrnl.exe IoSetPartitionInformationEx 0013d20e 
F ntoskrnl.exe IoSetShareAccess 0009a71b 
F ntoskrnl.exe IoSetStartIoAttributes 000397f3 
F ntoskrnl.exe IoSetSystemPartition 000570f8 
F ntoskrnl.exe IoSetThreadHardErrorMode 000121a1 
F ntoskrnl.exe IoSetTopLevelIrp 00011b8f 
F ntoskrnl.exe IoStartNextPacket 0000d460 
F ntoskrnl.exe IoStartNextPacketByKey 00056f0f 
F ntoskrnl.exe IoStartPacket 0000d3d8 
F ntoskrnl.exe IoStartTimer 00034f20 
F ntoskrnl.exe IoStatisticsLock 0007a928 
F ntoskrnl.exe IoStopTimer 00056f69 
